EntryId;PublicXUsername;PublicTelegramUsername;WalletMasked;PublicStatus;DrawInput
138;@dreadedgee9;@merryluca;0x7ca5...8d37;OK;138|@dreadedgee9|@merryluca|0x7ca5...8d37
139;@1_artistry;@astro_artistry1;0x8d9d...b8e5;OK;139|@1_artistry|@astro_artistry1|0x8d9d...b8e5
140;@deviantcorp99;@deviantcorp99;0x773a...96b6;OK;140|@deviantcorp99|@deviantcorp99|0x773a...96b6
141;@carolinerr91;@breadedg;0x75b0...1964;OK;141|@carolinerr91|@breadedg|0x75b0...1964
142;@carleyshim6;@billieeilishoffice;0xf030...fa68;OK;142|@carleyshim6|@billieeilishoffice|0xf030...fa68
143;@murdocktho1;@franciscomachine;0xf29d...1d1f;OK;143|@murdocktho1|@franciscomachine|0xf29d...1d1f
144;@zonxmulu;@gunturaldi07;0x7701...6e0a;OK;144|@zonxmulu|@gunturaldi07|0x7701...6e0a
145;@cannadyjas2;@faithfulfull;0x385a...5f76;OK;145|@cannadyjas2|@faithfulfull|0x385a...5f76
146;@ogewustone3;@alaskamaya;0x9292...a7ea;OK;146|@ogewustone3|@alaskamaya|0x9292...a7ea
147;@elijah_nwo83661;@bigeli45;0x69b6...36cd;OK;147|@elijah_nwo83661|@bigeli45|0x69b6...36cd
148;@horseaman1;@lewishamiltonn01;0xda66...1fb7;OK;148|@horseaman1|@lewishamiltonn01|0xda66...1fb7
149;@tory_legal;@martinbrambachh;0x8545...c47e;OK;149|@tory_legal|@martinbrambachh|0x8545...c47e
150;@baejaw_nft;@somebae;0xc7cb...31e1;OK;150|@baejaw_nft|@somebae|0xc7cb...31e1
151;@iksanmuh1100;@muhiksn;0xed91...b71f;OK;151|@iksanmuh1100|@muhiksn|0xed91...b71f
152;@yuyithaperezmap;@zzaunteee;0xc539...d5e8;OK;152|@yuyithaperezmap|@zzaunteee|0xc539...d5e8
153;@cyberdropeth;@gilang034;0x9498...b9c9;OK;153|@cyberdropeth|@gilang034|0x9498...b9c9
154;@suprwondrwoman;@floriansilbereisenoffice1;0x9a30...848b;OK;154|@suprwondrwoman|@floriansilbereisenoffice1|0x9a30...848b
155;@baudonewin369;@febriramdhani;0xce80...7250;OK;155|@baudonewin369|@febriramdhani|0xce80...7250
156;@caytrudiennhat;@tosudatma;0xf2bf...ea13;OK;156|@caytrudiennhat|@tosudatma|0xf2bf...ea13
157;@zilvazilvanii;@zilvazilvani;0x0952...acbf;OK;157|@zilvazilvanii|@zilvazilvani|0x0952...acbf
158;@manggastrow;@stroberimanggai;0xf31b...ef89;OK;158|@manggastrow|@stroberimanggai|0xf31b...ef89
159;@mumsitohhzr;@mumsitoh;0x03bd...575c;OK;159|@mumsitohhzr|@mumsitoh|0x03bd...575c
160;@kellzya15;@kellysatu;0x680f...38f3;OK;160|@kellzya15|@kellysatu|0x680f...38f3
161;@nagasalakat;@salaknaga;0x1bfe...45b0;OK;161|@nagasalakat|@salaknaga|0x1bfe...45b0
162;@moeyysitiloc;@sitillimoey;0xd589...752d;OK;162|@moeyysitiloc|@sitillimoey|0xd589...752d
163;@tarakeia36;@keitharasatu;0x6cb3...ae97;OK;163|@tarakeia36|@keitharasatu|0x6cb3...ae97
164;@nurrahmon;@mdnuras;0xafbc...5f33;OK;164|@nurrahmon|@mdnuras|0xafbc...5f33
165;@kajeeshha;@revallynkajesha;0x86fc...4d93;OK;165|@kajeeshha|@revallynkajesha|0x86fc...4d93
166;@kiesyaf18;@keisysatu;0x96e0...9c0e;OK;166|@kiesyaf18|@keisysatu|0x96e0...9c0e
167;@joclaiya15;@jocelayara;0x10df...3063;OK;167|@joclaiya15|@jocelayara|0x10df...3063
168;@jennaypol78l;@jenndua;0x8c7b...d4db;OK;168|@jennaypol78l|@jenndua|0x8c7b...d4db
169;@jeinje42;@jenayaelara;0xa0d9...85be;OK;169|@jeinje42|@jenayaelara|0xa0d9...85be
170;@jamiala13;@jamalajedah;0x8651...38cf;OK;170|@jamiala13|@jamalajedah|0x8651...38cf
171;@maaddalaa;@ravelamadala;0x366b...e967;OK;171|@maaddalaa|@ravelamadala|0x366b...e967
172;@ireyabe12;@ieyebe;0x466b...7a53;OK;172|@ireyabe12|@ieyebe|0x466b...7a53
173;@indrayantinv;@rahmafin;0x96d1...09d2;OK;173|@indrayantinv|@rahmafin|0x96d1...09d2
174;@rasanjayya;@putrisan6;0x2fd1...b464;OK;174|@rasanjayya|@putrisan6|0x2fd1...b464
175;@popolpengg;@penggantipopol;0xe6d9...0da2;OK;175|@popolpengg|@penggantipopol|0xe6d9...0da2
176;@meongpan;@pandameong;0x92d3...b2e7;OK;176|@meongpan|@pandameong|0x92d3...b2e7
177;@twetterx5;@acilpiw10;0x65b9...ba04;OK;177|@twetterx5|@acilpiw10|0x65b9...ba04
178;@hespitina38;@hestiwsa;0x2125...f8a5;OK;178|@hespitina38|@hestiwsa|0x2125...f8a5
179;@archietecture1;@jimmyk77;0xc3c3...33ef;OK;179|@archietecture1|@jimmyk77|0xc3c3...33ef
180;@galakoww;@owiesigalak;0x6164...1320;OK;180|@galakoww|@owiesigalak|0x6164...1320
181;@tressnaku;@opoananetresnaku;0xf183...64e5;OK;181|@tressnaku|@opoananetresnaku|0xf183...64e5
182;@muehehenyi;@nyinyoh;0x4dd0...75c0;OK;182|@muehehenyi|@nyinyoh|0x4dd0...75c0
183;@diandrranur;@nurdiandragustian;0xd0b9...1269;OK;183|@diandrranur|@nurdiandragustian|0xd0b9...1269
184;@terserhhwo;@ninaterserah;0x19c2...2392;OK;184|@terserhhwo|@ninaterserah|0x19c2...2392
185;@roi_small;@bwaone;0x3245...86af;OK;185|@roi_small|@bwaone|0x3245...86af
186;@qyeruzu;@gelaspecahku;0x78f3...c97e;OK;186|@qyeruzu|@gelaspecahku|0x78f3...c97e
187;@yeoonpopp;@nnayeonpopp;0x29d8...517a;OK;187|@yeoonpopp|@nnayeonpopp|0x29d8...517a
188;@inkanaptr;@nayarainkana;0x3f04...568e;OK;188|@inkanaptr|@nayarainkana|0x3f04...568e
189;@urannau;@nauraaa28;0x7493...6653;OK;189|@urannau|@nauraaa28|0x7493...6653
190;@dodet7171;@dodet31;0xde93...bfdd;OK;190|@dodet7171|@dodet31|0xde93...bfdd
191;@febbiannarv;@nathasyafebiana;0xcac0...c832;OK;191|@febbiannarv|@nathasyafebiana|0xcac0...c832
192;@lashawnhauben97;@rizq1707;0x68c4...525f;OK;192|@lashawnhauben97|@rizq1707|0x68c4...525f
193;@defass1402;@defaz1402;0x6ab8...c0d5;OK;193|@defass1402|@defaz1402|0x6ab8...c0d5
194;@johnsmithhu6t;@dedbad200;0x4728...a22c;OK;194|@johnsmithhu6t|@dedbad200|0x4728...a22c
195;@ychanamy;@navmycha;0xfcc5...4337;OK;195|@ychanamy|@navmycha|0xfcc5...4337
196;@qiyyanii;@nalitaaqiyani;0xbe8b...5b57;OK;196|@qiyyanii|@nalitaaqiyani|0xbe8b...5b57
197;@zahrranisazz;@nalikazhra;0x5146...7e26;OK;197|@zahrranisazz|@nalikazhra|0x5146...7e26
198;@luttvvidp;@nadyalutvi;0x7493...6652;OK;198|@luttvvidp|@nadyalutvi|0x7493...6652
199;@fyucchaa;@mviyucha;0xcac0...c831;OK;199|@fyucchaa|@mviyucha|0xcac0...c831
200;@ournnemel95;@melvourne0;0xfcc5...4336;OK;200|@ournnemel95|@melvourne0|0xfcc5...4336
201;@pputtihhh;@melonputih8;0xbe8b...5b56;OK;201|@pputtihhh|@melonputih8|0xbe8b...5b56
202;@rektguyxbt;@rektguyz;0x6d7b...f229;OK;202|@rektguyxbt|@rektguyz|0x6d7b...f229
203;@0xstandown;@oxdwhen;0x0097...a07e;OK;203|@0xstandown|@oxdwhen|0x0097...a07e
204;@olovevvlyy;@mellaloveely;0x5146...7e25;OK;204|@olovevvlyy|@mellaloveely|0x5146...7e25
205;@iaalicyya;@maurinealicya;0xa6b5...1901;OK;205|@iaalicyya|@maurinealicya|0xa6b5...1901
206;@unggniss;@nismangga;0x7493...6651;OK;206|@unggniss|@nismangga|0x7493...6651
207;@bddkerttii;@mahesabd;0xcac0...c830;OK;207|@bddkerttii|@mahesabd|0xcac0...c830
208;@aersyakk;@cindydyi;0xd3ed...6a9a;OK;208|@aersyakk|@cindydyi|0xd3ed...6a9a
209;@aircastervs;@gitgwei;0x888f...f05f;OK;209|@aircastervs|@gitgwei|0x888f...f05f
210;@rizmay32;@rizemay;0x4a7f...9ff9;OK;210|@rizmay32|@rizemay|0x4a7f...9ff9
211;@kaddixxy;@luciennadixcy;0xfcc5...4335;OK;211|@kaddixxy|@luciennadixcy|0xfcc5...4335
212;@jbellonna;@louisabelona;0xbe8b...5b55;OK;212|@jbellonna|@louisabelona|0xbe8b...5b55
